,통계표코드,통계명,통계항목1코드,통계항목명1,통계항목2코드,통계항목명2,통계항목3코드,통계항목명3,단위,date,value
0,200Y002,2.1.1.2. 주요지표(분기지표),10124,건설투자,,,,,% ,2018-01-18,1.1
1,200Y002,2.1.1.2. 주요지표(분기지표),10124,건설투자,,,,,% ,2018-02-18,-3
2,200Y002,2.1.1.2. 주요지표(분기지표),10124,건설투자,,,,,% ,2018-03-18,-3.9
3,200Y002,2.1.1.2. 주요지표(분기지표),10124,건설투자,,,,,% ,2018-04-18,-0.1
4,200Y002,2.1.1.2. 주요지표(분기지표),10124,건설투자,,,,,% ,2019-01-19,-0.6
5,200Y002,2.1.1.2. 주요지표(분기지표),10124,건설투자,,,,,% ,2019-02-19,2.5
6,200Y002,2.1.1.2. 주요지표(분기지표),10124,건설투자,,,,,% ,2019-03-19,-2.3
7,200Y002,2.1.1.2. 주요지표(분기지표),10124,건설투자,,,,,% ,2019-04-19,4.4
8,200Y002,2.1.1.2. 주요지표(분기지표),10124,건설투자,,,,,% ,2020-01-20,1.4
9,200Y002,2.1.1.2. 주요지표(분기지표),10124,건설투자,,,,,% ,2020-02-20,-2.7
10,200Y002,2.1.1.2. 주요지표(분기지표),10124,건설투자,,,,,% ,2020-03-20,-2.3
11,200Y002,2.1.1.2. 주요지표(분기지표),10124,건설투자,,,,,% ,2020-04-20,2.4
12,200Y002,2.1.1.2. 주요지표(분기지표),10124,건설투자,,,,,% ,2021-01-21,0.1
13,200Y002,2.1.1.2. 주요지표(분기지표),10124,건설투자,,,,,% ,2021-02-21,-1.5
14,200Y002,2.1.1.2. 주요지표(분기지표),10124,건설투자,,,,,% ,2021-03-21,-2
15,200Y002,2.1.1.2. 주요지표(분기지표),10124,건설투자,,,,,% ,2021-04-21,2
16,200Y002,2.1.1.2. 주요지표(분기지표),10124,건설투자,,,,,% ,2022-01-22,-3.9
17,200Y002,2.1.1.2. 주요지표(분기지표),10124,건설투자,,,,,% ,2022-02-22,0.2
