통계표코드,통계명,통계항목1코드,통계항목명1,단위,date,value
403Y001,3.3.1.1.1. 수출금액지수,*AA,총지수,2015=100,2018-01-18,113.78
403Y001,3.3.1.1.1. 수출금액지수,*AA,총지수,2015=100,2018-02-18,121.44
403Y001,3.3.1.1.1. 수출금액지수,*AA,총지수,2015=100,2018-03-18,122.48
403Y001,3.3.1.1.1. 수출금액지수,*AA,총지수,2015=100,2018-04-18,121.29
403Y001,3.3.1.1.1. 수출금액지수,*AA,총지수,2015=100,2019-01-19,104.95
403Y001,3.3.1.1.1. 수출금액지수,*AA,총지수,2015=100,2019-02-19,108.85
403Y001,3.3.1.1.1. 수출금액지수,*AA,총지수,2015=100,2019-03-19,106.62
403Y001,3.3.1.1.1. 수출금액지수,*AA,총지수,2015=100,2019-04-19,109
403Y001,3.3.1.1.1. 수출금액지수,*AA,총지수,2015=100,2020-01-20,102.3
403Y001,3.3.1.1.1. 수출금액지수,*AA,총지수,2015=100,2020-02-20,87.33
403Y001,3.3.1.1.1. 수출금액지수,*AA,총지수,2015=100,2020-03-20,103.01
403Y001,3.3.1.1.1. 수출금액지수,*AA,총지수,2015=100,2020-04-20,112.61
403Y001,3.3.1.1.1. 수출금액지수,*AA,총지수,2015=100,2021-01-21,114.77
403Y001,3.3.1.1.1. 수출금액지수,*AA,총지수,2015=100,2021-02-21,125.47
403Y001,3.3.1.1.1. 수출금액지수,*AA,총지수,2015=100,2021-03-21,131.67
403Y001,3.3.1.1.1. 수출금액지수,*AA,총지수,2015=100,2021-04-21,140.38
403Y001,3.3.1.1.1. 수출금액지수,*AA,총지수,2015=100,2022-01-22,139.27
403Y001,3.3.1.1.1. 수출금액지수,*AA,총지수,2015=100,2022-02-22,142.51
