,통계표코드,통계명,통계항목1코드,통계항목명1,date,value
0,901Y009,4.2.1. 소비자물가지수,H02101,휴대전화기,2018Q1,98.427
1,901Y009,4.2.1. 소비자물가지수,H03,전화 및 팩스 서비스,2018Q1,106.386
2,901Y009,4.2.1. 소비자물가지수,H031,전화 및 팩스 서비스,2018Q1,106.386
3,901Y009,4.2.1. 소비자물가지수,H03101,유선전화료,2018Q1,99.925
4,901Y009,4.2.1. 소비자물가지수,F011,의약품,2018Q1,98.351
5,901Y009,4.2.1. 소비자물가지수,F01101,감기약,2018Q1,95.882
6,901Y009,4.2.1. 소비자물가지수,F01102,진통제,2018Q1,89.295
7,901Y009,4.2.1. 소비자물가지수,F01103,소화제,2018Q1,85.261
8,901Y009,4.2.1. 소비자물가지수,F01104,위장약,2018Q1,92.733
9,901Y009,4.2.1. 소비자물가지수,F01106,소염진통제,2018Q1,95.739
10,901Y009,4.2.1. 소비자물가지수,F01107,피부질환제,2018Q1,90.709
11,901Y009,4.2.1. 소비자물가지수,F01109,조제약,2018Q1,102.397
12,901Y009,4.2.1. 소비자물가지수,F01111,인삼,2018Q1,102.498
13,901Y009,4.2.1. 소비자물가지수,F01113,비타민제,2018Q1,100.145
14,901Y009,4.2.1. 소비자물가지수,F01116,병원약품,2018Q1,102.205
15,901Y009,4.2.1. 소비자물가지수,F012,의료용품 및 치료기기,2018Q1,98.666
16,901Y009,4.2.1. 소비자물가지수,F01201,종이기저귀,2018Q1,92.525
17,901Y009,4.2.1. 소비자물가지수,F01202,생리대,2018Q1,99.013
18,901Y009,4.2.1. 소비자물가지수,F01205,안경,2018Q1,101.649
19,901Y009,4.2.1. 소비자물가지수,F01206,콘택트렌즈,2018Q1,102.746
20,901Y009,4.2.1. 소비자물가지수,F01207,의료측정기,2018Q1,96.429
21,901Y009,4.2.1. 소비자물가지수,F01208,보청기,2018Q1,100
22,901Y009,4.2.1. 소비자물가지수,F02,외래환자 서비스,2018Q1,97.41
23,901Y009,4.2.1. 소비자물가지수,F021,의료서비스,2018Q1,95.744
24,901Y009,4.2.1. 소비자물가지수,F02101,외래진료비,2018Q1,95.531
25,901Y009,4.2.1. 소비자물가지수,F02102,건강검진비,2018Q1,98.121
26,901Y009,4.2.1. 소비자물가지수,F02103,한방진료비,2018Q1,99.659
27,901Y009,4.2.1. 소비자물가지수,F02104,약국조제료,2018Q1,93.634
28,901Y009,4.2.1. 소비자물가지수,F022,기타의료서비스,2018Q1,100.489
29,901Y009,4.2.1. 소비자물가지수,F02201,치과진료비,2018Q1,98.188
30,901Y009,4.2.1. 소비자물가지수,F02202,치과보철료,2018Q1,102.607
31,901Y009,4.2.1. 소비자물가지수,F03,병원 서비스,2018Q1,104.289
32,901Y009,4.2.1. 소비자물가지수,F031,병원 서비스,2018Q1,104.289
33,901Y009,4.2.1. 소비자물가지수,F03101,입원진료비,2018Q1,100.212
34,901Y009,4.2.1. 소비자물가지수,F03102,병원검사료,2018Q1,133.872
35,901Y009,4.2.1. 소비자물가지수,G,교통,2018Q1,102.946
36,901Y009,4.2.1. 소비자물가지수,G01,운송장비,2018Q1,100.489
37,901Y009,4.2.1. 소비자물가지수,G011,운송장비,2018Q1,100.489
38,901Y009,4.2.1. 소비자물가지수,G01101,소형승용차,2018Q1,101.96
39,901Y009,4.2.1. 소비자물가지수,G01102,중형승용차,2018Q1,100.661
40,901Y009,4.2.1. 소비자물가지수,G01103,대형승용차,2018Q1,101.106
41,901Y009,4.2.1. 소비자물가지수,G01104,경승용차,2018Q1,99.159
42,901Y009,4.2.1. 소비자물가지수,G01105,다목적승용차,2018Q1,101.998
43,901Y009,4.2.1. 소비자물가지수,G01106,수입승용차,2018Q1,97.903
44,901Y009,4.2.1. 소비자물가지수,G02,개인운송장비 운영,2018Q1,108.972
45,901Y009,4.2.1. 소비자물가지수,G021,개인운송장비 연료 및 윤활유,2018Q1,112.903
46,901Y009,4.2.1. 소비자물가지수,G02101,휘발유,2018Q1,112.799
47,901Y009,4.2.1. 소비자물가지수,G02102,경유,2018Q1,113.617
48,901Y009,4.2.1. 소비자물가지수,G02103,자동차용LPG,2018Q1,110.696
49,901Y009,4.2.1. 소비자물가지수,G022,개인운송장비 소모품 및 유지·수리,2018Q1,96.395
50,901Y009,4.2.1. 소비자물가지수,G02201,자동차용품,2018Q1,97.592
51,901Y009,4.2.1. 소비자물가지수,G02203,자동차타이어,2018Q1,106.157
52,901Y009,4.2.1. 소비자물가지수,G02205,엔진오일교체료,2018Q1,92.302
53,901Y009,4.2.1. 소비자물가지수,G023,개인운송장비 관련 기타 서비스,2018Q1,101.134
54,901Y009,4.2.1. 소비자물가지수,J01101,유치원납입금,2018Q1,103.894
55,901Y009,4.2.1. 소비자물가지수,J03,고등교육,2018Q1,101.398
56,901Y009,4.2.1. 소비자물가지수,J031,고등교육,2018Q1,101.398
57,901Y009,4.2.1. 소비자물가지수,J03101,전문대학납입금,2018Q1,100.263
58,901Y009,4.2.1. 소비자물가지수,J03102,국공립대학교납입금,2018Q1,101.505
59,901Y009,4.2.1. 소비자물가지수,J03103,사립대학교납입금,2018Q1,102.1
60,901Y009,4.2.1. 소비자물가지수,J03104,국공립대학원납입금,2018Q1,98.778
61,901Y009,4.2.1. 소비자물가지수,J03105,사립대학원납입금,2018Q1,98.827
62,901Y009,4.2.1. 소비자물가지수,J04,기타교육,2018Q1,95.943
63,901Y009,4.2.1. 소비자물가지수,J041,학원 및 보습교육,2018Q1,95.918
64,901Y009,4.2.1. 소비자물가지수,J04101,초등학생학원비,2018Q1,97.102
65,901Y009,4.2.1. 소비자물가지수,J04102,중학생학원비,2018Q1,95.742
66,901Y009,4.2.1. 소비자물가지수,J04103,고등학생학원비,2018Q1,95.746
67,901Y009,4.2.1. 소비자물가지수,J04104,음악학원비,2018Q1,95.08
68,901Y009,4.2.1. 소비자물가지수,J04105,미술학원비,2018Q1,94.763
69,901Y009,4.2.1. 소비자물가지수,J04106,운동학원비,2018Q1,93.572
70,901Y009,4.2.1. 소비자물가지수,J04107,전산학원비,2018Q1,95.579
71,901Y009,4.2.1. 소비자물가지수,J04108,가정학습지,2018Q1,96.886
72,901Y009,4.2.1. 소비자물가지수,J04109,이러닝이용료,2018Q1,111.252
73,901Y009,4.2.1. 소비자물가지수,J04110,학교보충교육비,2018Q1,98.276
74,901Y009,4.2.1. 소비자물가지수,J042,성인학원 및 기타교육,2018Q1,96.292
75,901Y009,4.2.1. 소비자물가지수,H03102,휴대전화료,2018Q1,107.904
76,901Y009,4.2.1. 소비자물가지수,H03103,인터넷이용료,2018Q1,99.92
77,901Y009,4.2.1. 소비자물가지수,H03104,휴대전화기수리비,2018Q1,94.781
78,901Y009,4.2.1. 소비자물가지수,I,오락 및 문화,2018Q1,100.185
79,901Y009,4.2.1. 소비자물가지수,I01,"음향, 영상, 사진 및 정보처리 장비",2018Q1,108.948
80,901Y009,4.2.1. 소비자물가지수,I011,영상·음향기기,2018Q1,116.191
81,901Y009,4.2.1. 소비자물가지수,I01101,TV,2018Q1,120.69
82,901Y009,4.2.1. 소비자물가지수,I01102,영상음향기기,2018Q1,102.32
83,901Y009,4.2.1. 소비자물가지수,I012,정보처리기기·소모품,2018Q1,104.364
84,901Y009,4.2.1. 소비자물가지수,I01201,컴퓨터,2018Q1,105.434
85,901Y009,4.2.1. 소비자물가지수,I01202,컴퓨터수리비,2018Q1,100
86,901Y009,4.2.1. 소비자물가지수,I01203,휴대용멀티미디어기기,2018Q1,104.263
87,901Y009,4.2.1. 소비자물가지수,I01205,저장장치,2018Q1,133.824
88,901Y009,4.2.1. 소비자물가지수,I02,기타 오락 및 문화용 주요 내구재,2018Q1,103.215
89,901Y009,4.2.1. 소비자물가지수,I021,기타 오락 및 문화용 주요 내구재,2018Q1,103.215
90,901Y009,4.2.1. 소비자물가지수,I03,"기타 오락용품, 조경용품 및 애완동물",2018Q1,99.744
91,901Y009,4.2.1. 소비자물가지수,I031,"기타 오락용품, 조경용품 및 애완동물",2018Q1,99.744
92,901Y009,4.2.1. 소비자물가지수,G02301,자동차학원비,2018Q1,89.88
93,901Y009,4.2.1. 소비자물가지수,G02302,주차료,2018Q1,99.865
94,901Y009,4.2.1. 소비자물가지수,G02303,도로통행료,2018Q1,101.755
95,901Y009,4.2.1. 소비자물가지수,G02304,승용차임차료,2018Q1,109.524
96,901Y009,4.2.1. 소비자물가지수,G02305,대리운전이용료,2018Q1,94.604
97,901Y009,4.2.1. 소비자물가지수,G02306,자동차검사료,2018Q1,100
98,901Y009,4.2.1. 소비자물가지수,G03,운송 서비스,2018Q1,94.828
99,901Y009,4.2.1. 소비자물가지수,G031,철도 여객수송,2018Q1,100
100,901Y009,4.2.1. 소비자물가지수,G03101,열차료,2018Q1,100
101,901Y009,4.2.1. 소비자물가지수,G03102,도시철도료,2018Q1,100
102,901Y009,4.2.1. 소비자물가지수,G032,도로 여객수송,2018Q1,92.112
103,901Y009,4.2.1. 소비자물가지수,G03201,시내버스료,2018Q1,94.903
104,901Y009,4.2.1. 소비자물가지수,G03203,택시료,2018Q1,86.534
105,901Y009,4.2.1. 소비자물가지수,G033,항공 및 수상여객운송,2018Q1,97.835
106,901Y009,4.2.1. 소비자물가지수,G03301,국내항공료,2018Q1,97.452
107,901Y009,4.2.1. 소비자물가지수,G03302,국제항공료,2018Q1,98.164
108,901Y009,4.2.1. 소비자물가지수,G03303,여객선료,2018Q1,93.888
109,901Y009,4.2.1. 소비자물가지수,G034,기타 여객운송,2018Q1,96.176
110,901Y009,4.2.1. 소비자물가지수,G03401,이삿짐운송료,2018Q1,95.611
111,901Y009,4.2.1. 소비자물가지수,G03402,택배이용료,2018Q1,97.118
112,901Y009,4.2.1. 소비자물가지수,H,통신,2018Q1,104.777
113,901Y009,4.2.1. 소비자물가지수,H01,우편서비스,2018Q1,89.644
114,901Y009,4.2.1. 소비자물가지수,H011,우편서비스,2018Q1,89.644
115,901Y009,4.2.1. 소비자물가지수,H01101,우편료,2018Q1,89.644
