통계표코드,통계명,통계항목1코드,통계항목명1,통계항목2코드,통계항목명2,단위,date,value
901Y027,8.6.2. 경제활동인구,I61E,고용률,I28A,원계열,% ,2018-01-18,59.6
901Y027,8.6.2. 경제활동인구,I61E,고용률,I28A,원계열,% ,2018-02-18,61.2
901Y027,8.6.2. 경제활동인구,I61E,고용률,I28A,원계열,% ,2018-03-18,61.1
901Y027,8.6.2. 경제활동인구,I61E,고용률,I28A,원계열,% ,2018-04-18,60.9
901Y027,8.6.2. 경제활동인구,I61E,고용률,I28A,원계열,% ,2019-01-19,59.6
901Y027,8.6.2. 경제활동인구,I61E,고용률,I28A,원계열,% ,2019-02-19,61.3
901Y027,8.6.2. 경제활동인구,I61E,고용률,I28A,원계열,% ,2019-03-19,61.5
901Y027,8.6.2. 경제활동인구,I61E,고용률,I28A,원계열,% ,2019-04-19,61.4
901Y027,8.6.2. 경제활동인구,I61E,고용률,I28A,원계열,% ,2020-01-20,59.9
901Y027,8.6.2. 경제활동인구,I61E,고용률,I28A,원계열,% ,2020-02-20,60
901Y027,8.6.2. 경제활동인구,I61E,고용률,I28A,원계열,% ,2020-03-20,60.4
901Y027,8.6.2. 경제활동인구,I61E,고용률,I28A,원계열,% ,2020-04-20,60
901Y027,8.6.2. 경제활동인구,I61E,고용률,I28A,원계열,% ,2021-01-21,58.6
901Y027,8.6.2. 경제활동인구,I61E,고용률,I28A,원계열,% ,2021-02-21,61
901Y027,8.6.2. 경제활동인구,I61E,고용률,I28A,원계열,% ,2021-03-21,61.3
901Y027,8.6.2. 경제활동인구,I61E,고용률,I28A,원계열,% ,2021-04-21,61.1
901Y027,8.6.2. 경제활동인구,I61E,고용률,I28A,원계열,% ,2022-01-22,60.5
901Y027,8.6.2. 경제활동인구,I61E,고용률,I28A,원계열,% ,2022-02-22,62.7
