날짜,금융불안지수
2016-01-01,8.7
2016-01-02,11.4
2016-01-03,7.7
2016-01-04,4.5
2016-01-05,7.5
2016-01-06,6.2
2016-01-07,4.8
2016-01-08,4.2
2016-01-09,5.1
2016-01-10,5.6
2016-01-11,7.1
2016-01-12,6.4
2017-01-01,6.5
2017-01-02,6.2
2017-01-03,5.2
2017-01-04,3.5
2017-01-05,2.3
2017-01-06,2.4
2017-01-07,3.2
2017-01-08,4.3
2017-01-09,3.6
2017-01-10,2.6
2017-01-11,1.7
2017-01-12,1.1
2018-01-01,2.3
2018-01-02,3.5
2018-01-03,4.5
2018-01-04,5.4
2018-01-05,4.5
2018-01-06,4.7
2018-01-07,5.7
2018-01-08,6.1
2018-01-09,5.7
2018-01-10,8.1
2018-01-11,8.3
2018-01-12,6.9
2019-01-19,7.7
2019-01-20,6.6
2019-01-21,5.5
2019-01-22,5.8
2019-01-23,7.8
2019-01-24,7.8
2019-01-25,7.8
2019-01-26,8.1
2019-01-27,7.4
2019-01-28,6.7
2019-01-29,5.8
2019-01-30,6.2
2020-01-20,5.3
2020-01-21,9.1
2020-01-22,17.8
2020-01-23,24.5
2020-01-24,21.1
2020-01-25,20.4
2020-01-26,16.6
2020-01-27,13.5
2020-01-28,15.9
2020-01-29,9.6
2020-01-30,7.8
2020-01-31,9.3
2021-01-21,9.6
2021-02-22,7.7
2021-03-23,6.3
2021-04-24,3.2
2021-02-25,1.7
2021-02-26,2.1
2021-02-27,1.5
2021-02-28,0.9
2021-03-01,1.7
2021-03-02,3.5
2021-03-03,4.5
2021-03-04,5.9
2022-01-22,6.2
2022-02-22,6.8
2022-03-22,8.9
2022-04-22,10.4
2022-05-22,13.11
