날짜,소비자심리지수
201601월,100
201602월,97.9
201603월,100
201604월,101.5
201605월,99.2
201606월,98.8
201607월,101
201608월,101.9
201609월,101.8
201610월,102
201611월,95.7
201612월,94.1
201701월,93.3
201702월,94.4
201703월,96.7
201704월,101.2
201705월,108
201706월,110.8
201707월,110.9
201708월,109.6
201709월,107.4
201710월,108.9
201711월,112
201712월,110.6
201801월,110.7
201802월,109
201803월,108.9
201804월,107.9
201805월,108.8
201806월,106.3
201807월,101.8
201808월,99.9
201809월,100.7
201810월,99.9
201811월,96.5
201812월,97.6
201901월,98.3
201902월,100.3
201903월,100.5
201904월,102.4
201905월,98.7
201906월,98.4
201907월,96.9
201908월,93.5
201909월,97.9
201910월,99.5
201911월,101.7
201912월,101.3
202001월,104.8
202002월,97.8
202003월,80.4
202004월,73.3
202005월,79.7
202006월,83.7
202007월,85.9
202008월,89.7
202009월,81.4
202010월,92.9
202011월,99
202012월,91.2
202101월,95.4
202102월,97.4
202103월,100.5
202104월,102.2
202105월,105.3
202106월,110.3
202107월,103.2
202108월,102.5
202109월,103.8
202110월,106.8
202111월,107.6
202112월,103.9
202201월,104.4
202202월,103.1
202203월,103.2
202204월,103.8
202205월,102.6
202206월,96.4
202207월,86
202208월,88.8
202209월,91.4
