날짜,신뢰지수
2016년 01월 ,100
2016년 02월 ,98
2016년 03월 ,100
2016년 04월 ,101
2016년 05월,99
2016년 06월 ,99
2016년 07월,101
2016년 08월,102
2016년 09월,102
2016년 10월 ,102
2016년 11월 ,96
2016년 12월 ,94
2017년 01월,93
2017년 02월,94
2017년 03월,97
2017년 04월 ,101
2017년 05월,108
2017년 06월,111
2017년 07월,111
2017년 08월 ,110
2017년 09월 ,108
2017년 10월 ,109
2017년 11월 ,112
2017년 12월 ,111
2018년 01월 ,110
2018년 02월 ,108
2018년 03월,108
2018년 04월,107
2018년 05월,108
2018년 06월,106
2018년 07월,101
2018년 08월 ,99
2018년 09월 ,102
2018년 10월 ,100
2018년 11월,96
2018년 12월,97
2019년 01월 ,98
2019년 02월,100
2019년 03월 ,100
2019년 04월 ,102
2019년 05월,97.9
2019년 06월,97.5
2019년 07월 ,95.9
2019년 08월 ,92.5
2019년 09월 ,96.9
2019년 10월,98.6
2019년 11월 ,100.9
2019년 12월,100.4
2020년 01월 ,104.2
2020년 02월 ,96.9
2020년 03월 ,78.4
2020년 04월,70.8
2020년 05월,77.6
2020년 06월,81.8
2020년 07월,84.2
2020년 08월,88.2
2020년 09월,79.4
2020년 10월,91.6
2020년 11월,97.9
2020년 12월 ,89.8
2021년 01월 ,95.4
2021년 02월,97.4
2021년 03월 ,100.5
2021년 04월 ,102.2
2021년 05월 ,105.2
2021년 06월 ,110.3
2021년 07월 ,103.2
2021년 08월,102.5
2021년 09월,103.8
2021년 10월,106.8
2021년 11월,107.6
2021년 12월,103.9
2022년 01월 ,104.4
2022년 02월,103.1
2022년 03월,103.2
2022년 04월 ,103.8
2022년 05월 ,102.6
2022년 06월,96.4
2022년 07월,86
2022년 08월,88.8
2022년 09월,91.4
