통계표코드,통계명,통계항목1코드,통계항목명1,단위,date,value
200Y002,2.1.1.2. 주요지표(분기지표),10122,민간소비,% ,2018-01-18,1.4
200Y002,2.1.1.2. 주요지표(분기지표),10122,민간소비,% ,2018-02-18,0
200Y002,2.1.1.2. 주요지표(분기지표),10122,민간소비,% ,2018-03-18,0.6
200Y002,2.1.1.2. 주요지표(분기지표),10122,민간소비,% ,2018-04-18,0.8
200Y002,2.1.1.2. 주요지표(분기지표),10122,민간소비,% ,2019-01-19,0.3
200Y002,2.1.1.2. 주요지표(분기지표),10122,민간소비,% ,2019-02-19,0.4
200Y002,2.1.1.2. 주요지표(분기지표),10122,민간소비,% ,2019-03-19,0.6
200Y002,2.1.1.2. 주요지표(분기지표),10122,민간소비,% ,2019-04-19,1
200Y002,2.1.1.2. 주요지표(분기지표),10122,민간소비,% ,2020-01-20,-6.6
200Y002,2.1.1.2. 주요지표(분기지표),10122,민간소비,% ,2020-02-20,1.1
200Y002,2.1.1.2. 주요지표(분기지표),10122,민간소비,% ,2020-03-20,0.3
200Y002,2.1.1.2. 주요지표(분기지표),10122,민간소비,% ,2020-04-20,-1.1
200Y002,2.1.1.2. 주요지표(분기지표),10122,민간소비,% ,2021-01-21,1.2
200Y002,2.1.1.2. 주요지표(분기지표),10122,민간소비,% ,2021-02-21,3.3
200Y002,2.1.1.2. 주요지표(분기지표),10122,민간소비,% ,2021-03-21,0
200Y002,2.1.1.2. 주요지표(분기지표),10122,민간소비,% ,2021-04-21,1.5
200Y002,2.1.1.2. 주요지표(분기지표),10122,민간소비,% ,2022-01-22,-0.5
200Y002,2.1.1.2. 주요지표(분기지표),10122,민간소비,% ,2022-02-22,2.9
